Active School Zone,AGE,At Intersection,Charge,Crash ID,Crash Severity,Date/Time,Ethnicity,Gender,Helmet Damage,Person Age,SPEED LIMIT,Speed Limit,Surface Condition,Weather Condition,Weekday,Deaths,Injuries,Latitude,Longitude,Not Injured
NO,10,TRUE,NO CHARGES,12618127,SUSPECTED MINOR INJURY,01/01/2012 15:11,WHITE,FEMALE,NOT DAMAGED,10,30,30,DRY,CLEAR,SUNDAY,0,1,30.22463479,-97.87487243,1
NO,15,TRUE,NO CHARGES,12614754,SUSPECTED MINOR INJURY,02/01/2012 14:57,BLACK,MALE,UNKNOWN,15,35,35,DRY,CLEAR,MONDAY,0,1,30.26899478,-97.70689247,1
NO,20,TRUE,NO CHARGES,12484284,SUSPECTED MINOR INJURY,04/01/2012 18:22,WHITE,MALE,UNKNOWN,24,30,30,DRY,CLEAR,WEDNESDAY,0,1,30.24095479,-97.76542246,1
NO,10,TRUE,NO CHARGES,12499171,SUSPECTED MINOR INJURY,06/01/2012 17:49,ASIAN,MALE,UNKNOWN,13,30,30,WET,CLEAR,FRIDAY,0,1,30.33166477,-97.81137244,2
NO,10,FALSE,NO CHARGES,12610414,SUSPECTED MINOR INJURY,07/01/2012 13:49,HISPANIC,MALE,UNKNOWN,10,10,10,DRY,CLEAR,SATURDAY,0,1,,,1
NO,30,TRUE,NO CHARGES,12499135,SUSPECTED MINOR INJURY,08/01/2012 14:59,WHITE,FEMALE,UNKNOWN,33,35,35,DRY,CLOUDY,SUNDAY,0,1,30.30698477,-97.72459247,1
NO,35,FALSE,NO CHARGES,12614709,POSSIBLE INJURY,09/01/2012 15:40,WHITE,MALE,UNKNOWN,38,0,0,WET,RAIN,MONDAY,0,1,30.35171694,-97.74901678,1
NO,25,TRUE,NO CHARGES,12498630,SUSPECTED MINOR INJURY,10/01/2012 17:28,WHITE,MALE,UNKNOWN,28,0,0,DRY,CLEAR,TUESDAY,0,1,30.28953477,-97.71498247,1
NO,20,TRUE,NO CHARGES,12498787,SUSPECTED MINOR INJURY,11/01/2012 17:17,WHITE,FEMALE,UNKNOWN,24,40,40,DRY,CLEAR,WEDNESDAY,0,1,30.21546193,-97.7392539,1
NO,25,TRUE,NO CHARGES,12629246,NOT INJURED,12/01/2012 14:19,WHITE,MALE,UNKNOWN,25,35,35,DRY,CLOUDY,THURSDAY,0,0,30.26437854,-97.74801969,2
NO,50,TRUE,NO CHARGES,12610407,NOT INJURED,13/01/2012 15:51,WHITE,MALE,UNKNOWN,52,30,30,DRY,CLEAR,FRIDAY,0,0,30.27360478,-97.75170246,2
NO,20,FALSE,NO CHARGES,12510523,SUSPECTED MINOR INJURY,17/01/2012 16:50,WHITE,MALE,DAMAGED,21,40,40,DRY,CLEAR,TUESDAY,0,1,30.25779911,-97.759864,3
NO,40,TRUE,NO CHARGES,12510712,SUSPECTED MINOR INJURY,17/01/2012 16:47,HISPANIC,MALE,UNKNOWN,43,30,30,DRY,CLEAR,TUESDAY,0,1,30.26925478,-97.73972246,2
NO,10,FALSE,NO CHARGES,12524850,SUSPECTED MINOR INJURY,18/01/2012 16:44,OTHER,MALE,UNKNOWN,13,30,30,DRY,CLEAR,WEDNESDAY,0,1,30.22748146,-97.86778629,1
NO,20,FALSE,NO CHARGES,12618114,POSSIBLE INJURY,18/01/2012 11:00,WHITE,MALE,NOT DAMAGED,22,35,35,DRY,CLEAR,WEDNESDAY,0,1,30.2884695,-97.69977302,0
NO,25,TRUE,NO CHARGES,12629201,NOT INJURED,19/01/2012 10:28,OTHER,FEMALE,UNKNOWN,28,40,40,DRY,CLEAR,THURSDAY,0,0,30.26462109,-97.78600996,3
NO,0,TRUE,NO CHARGES,12629201,NOT INJURED,19/01/2012 10:28,OTHER,MALE,UNKNOWN,3,40,40,DRY,CLEAR,THURSDAY,0,0,30.26462109,-97.78600996,3
NO,25,TRUE,NO CHARGES,12610089,SUSPECTED MINOR INJURY,20/01/2012 23:58,ASIAN,FEMALE,UNKNOWN,25,0,0,DRY,CLEAR,FRIDAY,0,1,30.28992358,-97.74443624,1
NO,60,TRUE,NO CHARGES,12510358,SUSPECTED MINOR INJURY,22/01/2012 09:35,WHITE,MALE,DAMAGED,60,65,65,DRY,CLEAR,SUNDAY,0,1,30.18983422,-97.91885756,1
NO,25,FALSE,NO CHARGES,12510797,SUSPECTED MINOR INJURY,22/01/2012 16:51,WHITE,MALE,UNKNOWN,26,35,35,DRY,CLEAR,SUNDAY,0,1,30.23422479,-97.72247247,1
NO,25,FALSE,NO CHARGES,12524591,FATAL INJURY,23/01/2012 22:26,WHITE,MALE,UNKNOWN,25,50,50,DRY,CLEAR,MONDAY,1,0,30.43193358,-97.76490165,1
NO,20,TRUE,FTYROW-LEFT TURN,12524945,SUSPECTED MINOR INJURY,25/01/2012 12:35,WHITE,MALE,NOT DAMAGED,23,35,35,DRY,CLOUDY,WEDNESDAY,0,1,30.30566477,-97.74414246,2
NO,20,FALSE,NO CHARGES,12525247,SUSPECTED MINOR INJURY,27/01/2012 18:18,WHITE,MALE,UNKNOWN,22,0,0,DRY,CLEAR,FRIDAY,0,1,30.3092906,-97.68113748,1
NO,40,FALSE,NO CHARGES,12584842,SUSPECTED MINOR INJURY,02/02/2012 08:25,WHITE,MALE,NOT DAMAGED,42,40,40,DRY,CLEAR,THURSDAY,0,1,30.44198837,-97.66590407,2
NO,10,TRUE,NO CHARGES,12539247,SUSPECTED MINOR INJURY,03/02/2012 17:07,BLACK,MALE,UNKNOWN,14,30,30,DRY,CLEAR,FRIDAY,0,1,30.2862474,-97.67889652,1
NO,5,TRUE,NO CHARGES,12599244,SUSPECTED SERIOUS INJURY,03/02/2012 16:49,WHITE,MALE,UNKNOWN,8,0,0,DRY,CLEAR,FRIDAY,0,1,30.17646878,-97.83190185,1
NO,25,TRUE,NO CHARGES,12539272,POSSIBLE INJURY,04/02/2012 14:18,HISPANIC,MALE,UNKNOWN,27,35,35,DRY,CLEAR,SATURDAY,0,1,30.21076479,-97.78700245,1
NO,30,TRUE,BICYCLIST-RIDING LEFT OF CENTER IN ROADWAY,12539426,SUSPECTED MINOR INJURY,04/02/2012 16:17,ASIAN,FEMALE,UNKNOWN,30,30,30,DRY,CLEAR,SATURDAY,0,1,30.32582477,-97.73959274,1
NO,10,FALSE,NO CHARGES,12558913,SUSPECTED MINOR INJURY,07/02/2012 15:15,HISPANIC,MALE,UNKNOWN,13,30,30,DRY,CLEAR,TUESDAY,0,1,30.35941037,-97.69270438,1
NO,50,TRUE,NO CHARGES,12558951,SUSPECTED SERIOUS INJURY,07/02/2012 11:28,WHITE,FEMALE,UNKNOWN,52,45,45,DRY,CLEAR,TUESDAY,0,1,30.22329479,-97.84169244,1
NO,35,TRUE,NO CHARGES,12641867,SUSPECTED MINOR INJURY,09/02/2012 21:13,WHITE,MALE,NOT DAMAGED,38,50,50,DRY,CLEAR,THURSDAY,0,1,30.37320328,-97.72640319,1
NO,15,TRUE,NO CHARGES,12559151,POSSIBLE INJURY,10/02/2012 16:49,WHITE,MALE,DAMAGED,19,30,30,DRY,CLEAR,FRIDAY,0,1,30.26606478,-97.76887246,4
NO,20,TRUE,NO CHARGES,12559271,SUSPECTED MINOR INJURY,13/02/2012 13:02,WHITE,FEMALE,UNKNOWN,23,35,35,DRY,CLOUDY,MONDAY,0,1,30.29560477,-97.72339247,1
NO,10,TRUE,NO CHARGES,12559293,SUSPECTED MINOR INJURY,14/02/2012 15:21,WHITE,MALE,NOT DAMAGED,10,30,30,DRY,CLEAR,TUESDAY,0,1,30.36410476,-97.76276245,2
NO,30,FALSE,NO CHARGES,12609310,SUSPECTED MINOR INJURY,15/02/2012 09:17,WHITE,MALE,NOT DAMAGED,33,30,30,DRY,CLOUDY,WEDNESDAY,0,1,30.26468259,-97.74910949,1
NO,30,FALSE,NO CHARGES,12712944,SUSPECTED MINOR INJURY,16/02/2012 16:00,HISPANIC,MALE,NOT DAMAGED,30,0,0,DRY,CLEAR,THURSDAY,0,1,30.37746476,-97.75346246,1
NO,20,FALSE,NO CHARGES,12575172,POSSIBLE INJURY,17/02/2012 13:22,WHITE,MALE,UNKNOWN,21,0,0,DRY,CLEAR,FRIDAY,0,1,,,1
NO,25,FALSE,NO CHARGES,12609273,SUSPECTED MINOR INJURY,19/02/2012 13:30,WHITE,MALE,NOT DAMAGED,27,60,60,DRY,CLEAR,SUNDAY,0,1,30.43741614,-97.8382662,3
NO,30,TRUE,NO CHARGES,12560378,SUSPECTED MINOR INJURY,20/02/2012 19:06,WHITE,MALE,UNKNOWN,32,0,0,DRY,CLEAR,MONDAY,0,1,30.26650046,-97.75626172,1
NO,30,TRUE,NO CHARGES,12601359,POSSIBLE INJURY,21/02/2012 21:32,WHITE,FEMALE,UNKNOWN,30,40,40,DRY,CLEAR,TUESDAY,0,1,30.21521479,-97.76879246,2
YES,10,FALSE,NO CHARGES,12735092,SUSPECTED MINOR INJURY,21/02/2012 08:06,WHITE,MALE,UNKNOWN,13,0,0,DRY,CLOUDY,TUESDAY,0,1,,,1
NO,35,FALSE,NO CHARGES,12575604,POSSIBLE INJURY,22/02/2012 17:32,WHITE,MALE,UNKNOWN,36,30,30,DRY,CLEAR,WEDNESDAY,0,1,30.30026477,-97.74621246,1
NO,20,TRUE,NO CHARGES,12575612,POSSIBLE INJURY,22/02/2012 19:39,WHITE,MALE,UNKNOWN,24,35,35,DRY,CLEAR,WEDNESDAY,0,1,30.27605478,-97.74843246,1
NO,25,TRUE,NO CHARGES,12609409,POSSIBLE INJURY,22/02/2012 02:17,BLACK,MALE,UNKNOWN,28,0,0,WET,RAIN,WEDNESDAY,0,1,30.38066476,-97.71601246,0
NO,25,TRUE,NO CHARGES,12575491,SUSPECTED MINOR INJURY,25/02/2012 17:34,WHITE,MALE,UNKNOWN,27,40,40,DRY,CLEAR,SATURDAY,0,1,30.24843051,-97.76999678,1
